,art_title,what_is_known,what_is_added,implications,publication_date
65,"COVID-19 Surveillance and Investigations in Workplaces — Seattle & King County, Washington, June 15–November 15, 2020",Workplace activities that involve close contact with coworkers and customers can lead to COVID-19 spread.,"Workplace investigations were prioritized using workplace features associated with increased COVID-19 spread and with severe disease outcomes. High-priority investigations were more likely than were medium- and low-priority investigations to have two or more cases among employees, two or more cases not previously linked to the workplace, or two or more exposed workplace contacts not previously elicited during case interviews.","Workplace investigations uncovered contacts not previously elicited and cases not previously linked to the workplace, demonstrating the importance of conducting workplace investigations in addition to routine case interviews to limit the potential workplace spread of COVID-19.",25-Jun-21
66,"COVID-19 Vaccination Coverage Among Adults — United States, December 14, 2020–May 22, 2021","The U.S. COVID-19 vaccination program initially prioritized groups at highest risk for COVID-19 hospitalization and death; by April 19, 2021, eligibility expanded to all persons aged ≥16 years.","By May 22, 2021, 57.0% of U.S. adults aged ≥18 years had received ≥1 vaccine dose; coverage was lower and increased more slowly over time among younger adults. If the current rate of vaccination continues through August, coverage among young adults will remain substantially lower than among older adults.","Efforts to improve vaccination coverage are needed, especially among younger adults, to reduce COVID-19 cases, hospitalizations, and deaths.",25-Jun-21
67,"COVID-19 Vaccination Coverage and Intent Among Adults Aged 18–39 Years — United States, March–May 2021","Since April 19, 2021, all persons aged ≥16 years have been eligible for COVID-19 vaccination. Vaccination coverage and intent among adults are lowest among those aged 18–39 years.","Overall, 34% of adults aged 18–39 years reported having received a COVID-19 vaccine. Adults aged 18–24 years, as well as non-Hispanic Black adults and those with less education, no insurance, and lower household incomes, had the lowest reported vaccination coverage and intent to get vaccinated. Concerns about vaccine safety and effectiveness were commonly cited barriers to vaccination.",Addressing concerns about COVID-19 vaccine safety and efficacy and emphasizing the role of vaccination in protecting family and friends and resuming social activities might help increase coverage.,25-Jun-21
68,"Mental Health Among Parents of Children Aged <18 Years and Unpaid Caregivers of Adults During the COVID-19 Pandemic — United States, December 2020 and February–⁠March 2021",Parents of children aged <18 years and unpaid caregivers of adults have had mental health challenges before and during the COVID-19 pandemic.,"Among 10,444 U.S. adults surveyed during December 6–27, 2020, and February 16⁠–March 8, 2021, parents, unpaid caregivers of adults, and parents-caregivers (persons in both roles) had significantly worse mental health than adults not in these roles, including five times the odds of any adverse mental health symptoms (parents-caregivers). Persons who had someone to rely on for support had lower odds of experiencing any adverse mental health symptoms.","Parents and unpaid caregivers of adults, and particularly those in both roles, might benefit from mental health support and services tailored to their roles.",18-Jun-21
69,"Emergency Department Visits for Suspected Suicide Attempts Among Persons Aged 12–25 Years Before and During the COVID-19 Pandemic — United States, January 2019–May 2021","During 2020, the proportion of mental health–related emergency department (ED) visits among adolescents aged 12–17 years increased 31% compared with that during 2019.","In May 2020, during the COVID-19 pandemic, ED visits for suspected suicide attempts began to increase among adolescents aged 12–17 years, especially girls. During February 21–March 20, 2021, suspected suicide attempt ED visits were 50.6% higher among girls aged 12–17 years than during the same period in 2019; among boys aged 12–17 years, suspected suicide attempt ED visits increased 3.7%.","Suicide prevention requires a comprehensive approach that is adapted during times of infrastructure disruption, involves multisectoral partnerships and implements evidence-based strategies to address the range of factors influencing suicide risk.",18-Jun-21
70,"COVID-19 Vaccination Coverage Among Pregnant Women During Pregnancy — Eight Integrated Health Care Organizations, United States, December 14, 2020–May 8, 2021",Pregnant women are at increased risk for severe illness and death from COVID-19.,"As of May 8, 2021, 16.3% of pregnant women identified in CDC’s Vaccine Safety Datalink had received ≥1 dose of a COVID-19 vaccine during pregnancy in the United States. Vaccination was lowest among Hispanic (11.9%) and non-Hispanic Black women (6.0%) and women aged 18–24 years (5.5%) and highest among non-Hispanic Asian women (24.7%) and women aged 35–49 years (22.7%).","Improving outreach to and engagement with health care providers and pregnant women, especially those who are younger and from racial and ethnic minority groups, could increase vaccine confidence and thus coverage of COVID-19 vaccination in this population.",18-Jun-21
71,"Impact of the COVID-19 Pandemic on Administration of Selected Routine Childhood and Adolescent Vaccinations — 10 U.S. Jurisdictions, March–September 2020","Early reports during the COVID-19 pandemic documented a marked decline in pediatric vaccine ordering and administration, placing U.S. children and adolescents at risk for vaccine-preventable diseases.","Analysis of immunization information systems data from 10 U.S. jurisdictions indicated a substantial decrease in administered vaccine doses during March–May 2020 compared with the same period during 2018 and 2019. Although administered doses increased during June–September 2020, this increase was not sufficient to achieve catch-up coverage.","To prevent outbreaks of vaccine-preventable diseases, health care providers should assess the vaccination status of all pediatric patients, including adolescents, and contact those who are behind schedule to ensure that all children and adolescents are fully vaccinated.",11-Jun-21
72,"Genomic Surveillance for SARS-CoV-2 Variants Circulating in the United States, December 2020–May 2021","SARS-CoV-2 variants have the potential to affect transmission, disease severity, diagnostics, therapeutics, and natural and vaccine-induced immunity. ","CDC’s genomic surveillance for SARS-CoV-2 variants generates population-based estimates of the proportions of variants among all SARS-CoV-2 infections in the United States. During April 11–24, 2021, the B.1.1.7 and P.1 variants represented an estimated 66.0% and 5.0% of U.S. infections, respectively, demonstrating the potential for new variants to emerge and become predominant.","Robust genomic surveillance can help guide prevention strategies (e.g., enhanced vaccination coverage efforts) and clinical management decisions (e.g., monoclonal antibody distribution) to control the COVID-19 pandemic in the United States.",11-Jun-21
73,"Hospitalization of Adolescents Aged 12–17 Years with Laboratory-Confirmed COVID-19 — COVID-NET, 14 States, March 1, 2020–April 24, 2021","Most COVID-19–associated hospitalizations occur in adults, but severe disease occurs in all age groups, including adolescents aged 12–17 years.","COVID-19 adolescent hospitalization rates from COVID-NET peaked at 2.1 per 100,000 in early January 2021, declined to 0.6 in mid-March, and rose to 1.3 in April. Among hospitalized adolescents, nearly one third required intensive care unit admission, and 5% required invasive mechanical ventilation; no associated deaths occurred.","Recent increased hospitalization rates in spring 2021 and potential for severe disease reinforce the importance of continued COVID-19 prevention measures, including vaccination and correct and consistent mask wearing among persons not fully vaccinated or when required.",11-Jun-21
74,"Decreases in COVID-19 Cases, Emergency Department Visits, Hospital Admissions, and Deaths Among Older Adults Following the Introduction of COVID-19 Vaccine — United States, September 6, 2020–May 1, 2021","COVID-19 vaccination began in the United States in December 2020, and adults aged ≥65 years were prioritized in early phases.","By May 1, 2021, 82%, 63%, and 42% of adults aged ≥65, 50–64, and 18–49 years, respectively, had received ≥1 vaccine dose. From November 29–December 12, 2020 to April 18–May 1, 2021, the rate ratios of COVID-19 incidence, emergency department visits, hospital admissions, and deaths among adults aged ≥65 years (≥70 years for hospitalizations) to adults aged 18–49 years declined 40%, 59%, 65%, and 66%, respectively.","The greater decline in COVID-19 morbidity and mortality in older adults, the age group with the highest vaccination rates, demonstrates the potential impact of increasing population-level vaccination coverage.",11-Jun-21
75,"COVID-19 Severity and COVID-19–Associated Deaths Among Hospitalized Patients with HIV Infection — Zambia, March–December 2020",The effect of HIV infection on COVID-19 outcomes is unclear.,"HIV infection was not associated with poor outcomes among patients hospitalized for COVID-19 in Zambia. However, HIV-positive patients with severe HIV disease were more likely to develop severe COVID-19 or die of COVID-19.","Ensuring that persons maintain HIV disease control, including by maintaining ART treatment continuity and adherence, achieving viral suppression, and addressing underlying medical conditions, could help reduce COVID-19–associated morbidity and mortality in sub-Saharan Africa.",4-Jun-21
76,"Impact of Policy and Funding Decisions on COVID-19 Surveillance Operations and Case Reports — South Sudan, April 2020–February 2021","As of March 2021, African countries have reported fewer COVID-19 cases than have countries in other regions. The extent to which this is due to surveillance limitations is unknown.","Policy, funding, and strategy changes in South Sudan influenced the number of SARS CoV-2 tests performed and the populations tested. Underreporting of testing rates and detected cases, including a February 2021 COVID-19 surge, might have occurred after policy changes led to an increase in travel screening of asymptomatic persons with no known contact with a positive case and a decrease in testing of suspected cases","Policy, funding, and strategy decisions related to the COVID-19 pandemic response, such as those in South Sudan, are important considerations when interpreting the epidemiology of COVID-19 outbreaks.",4-Jun-21
77,"Patterns in COVID-19 Vaccination Coverage, by Social Vulnerability and Urbanicity — United States, December 14, 2020–May 1, 2021",Counties with higher levels of social vulnerability have been disproportionately affected by COVID-19.,"Disparities in county-level vaccination coverage by social vulnerability have increased as vaccine eligibility has expanded, especially in large fringe metropolitan (areas surrounding large cities, e.g., suburban) and nonmetropolitan counties. By May 1, 2021, vaccination coverage among adults was lower among those living in counties with lower socioeconomic status and with higher percentages of households with children, single parents, and persons with disabilities.","Outreach efforts, including expanding public health messaging tailored to local populations and increasing vaccination access, could help increase vaccination coverage in counties with high social vulnerability.",4-Jun-21
78,"Excess Death Estimates in Patients with End-Stage Renal Disease — United States, February–August 2020",Patients with end-stage renal disease (ESRD) are at increased risk for COVID-19–associated morbidity and mortality.,"Based on the national trend in ESRD deaths during the first 7 months of the U.S. COVID-19 pandemic (February 1–August 31, 2020), an estimated 8.7–12.9 excess deaths per 1,000 patients or 6,953–10,316 excess deaths in a population of 798,611 U.S. ESRD patients occurred.","Geographic and temporal patterns of excess mortality, including those among persons with ESRD, should be considered during planning and implementation of interventions, such as COVID-19 vaccination, patient education, and rollout of infection control guidance and technical assistance.",4-Jun-21
79,"Notes from the Field: Impact of the COVID-19 Response on Scale-Up of HIV Viral Load Testing — PEPFAR-Supported Countries, January–June 2020",NA,NA,NA,28-May-21
80,"COVID-19 Vaccine Breakthrough Infections Reported to CDC — United States, January 1–April 30, 2021",NA,NA,NA,28-May-21
81,"Mask Use and Ventilation Improvements to Reduce COVID-19 Incidence in Elementary Schools — Georgia, November 16–December 11, 2020","Kindergarten through grade 5 schools educate and address the students’ physical, social, and emotional needs. Preventing SARS-CoV-2 transmission in schools is imperative for safe in-person learning.",COVID-19 incidence was 37% lower in schools that required teachers and staff members to use masks and 39% lower in schools that improved ventilation. Ventilation strategies associated with lower school incidence included dilution methods alone (35% lower incidence) or in combination with filtration methods (48% lower incidence).,"Mask requirements for teachers and staff members and improved ventilation are important strategies in addition to vaccination of teachers and staff members that elementary schools could implement as part of a multicomponent approach to provide safer, in-person learning environments.",28-May-21
82,"COVID-19 Testing to Sustain In-Person Instruction and Extracurricular Activities in High Schools — Utah, November 2020–March 2021","COVID-19–associated cessation of kindergarten through grade 12 in-person instruction and extracurricular activities can have negative social, emotional, and educational consequences for children.","Utah implemented two high school COVID-19 testing programs to sustain in-person instruction and extracurricular activities. During November 30, 2020–March 20, 2021, among 59,552 students who received testing, 1,886 (3.2%) had a positive result. These programs facilitated the completion of approximately 95% of high school extracurricular competition events and saved an estimated 109,752 in-person instruction student-days.",School-based COVID-19 testing should be considered part of a comprehensive prevention strategy to identify SARS-CoV-2 infections in schools and sustain in-person instruction and extracurricular activities.,28-May-21
83,"Characteristics of COVID-19 Cases and Outbreaks at Child Care Facilities — District of Columbia, July–December 2020",COVID-19 cases reported at child care facilities are correlated with level of community transmission.,"Among 469 child care facilities in the District of Columbia, 23.9% reported at least one COVID-19 case, and 5.8% reported outbreak-associated cases during July 1–December 31, 2020. Among 319 cases, approximately one half were among teachers or staff members. Outbreak risk was increased in facilities operating <3 years, with symptomatic persons who sought testing ≥3 days after symptom onset, or with asymptomatic cases.",Implementation and maintenance of multiple prevention strategies are important to reduce SARS-CoV-2 transmission in child care facilities and to facilitate a timely public health response to prevent outbreaks.,21-May-21
84,"The Advisory Committee on Immunization Practices’ Interim Recommendation for Use of Pfizer-BioNTech COVID-19 Vaccine in Adolescents Aged 12–15 Years — United States, May 2021","On May 10, 2021, the Food and Drug Administration expanded Emergency Use Authorization for the Pfizer-BioNTech COVID-19 vaccine to include adolescents aged 12–15 years.","On May 12, 2021, after a systematic review of all available data, the Advisory Committee on Immunization Practices made an interim recommendation for use of the Pfizer-BioNTech COVID-19 vaccine in adolescents aged 12–15 years for the prevention of COVID-19.",The Pfizer-BioNTech COVID-19 vaccine is the first COVID-19 vaccine approved for use in adolescents and has high efficacy against symptomatic COVID-19. Vaccination will be important to protect adolescents against symptomatic COVID-19 disease and to reduce community transmission of SARS-CoV-2.,21-May-21
85,"Interim Estimates of Vaccine Effectiveness of Pfizer-BioNTech and Moderna COVID-19 Vaccines Among Health Care Personnel — 33 U.S. Sites, January–March 2021",Health care personnel (HCP) are at high risk for COVID-19. The early distribution of two mRNA COVID-19 vaccines (Pfizer-BioNTech and Moderna) to HCP provided an opportunity to examine vaccine effectiveness in a real-world setting.,The first U.S. multisite test-negative design vaccine effectiveness study among HCP found a single dose of Pfizer-BioNTech or Moderna COVID-19 vaccines to be 82% effective against symptomatic COVID-19 and 2 doses to be 94% effective.,The mRNA vaccines are highly effective at preventing symptomatic COVID-19 among U.S. HCP. High vaccination coverage among HCP and the general population is critical to prevent COVID-19 in the United States.,21-May-21
86,"Disparities in COVID-19 Vaccination Coverage Between Urban and Rural Counties — United States, December 14, 2020–April 10, 2021","Residents of rural communities are at increased risk for severe COVID-19–associated morbidity and mortality. In September 2020, COVID-19 incidence (cases per 100,000 population) in rural counties surpassed that in urban counties.",COVID-19 vaccination coverage was lower in rural counties (38.9%) than in urban counties (45.7%); disparities persisted among age groups and by sex.,"Disparities in COVID-19 vaccination access and coverage between urban and rural communities can hinder progress toward ending the pandemic. Public health practitioners should collaborate with health care providers, pharmacies, employers, faith leaders, and other community partners to identify and address barriers to COVID-19 vaccination in rural areas.",21-May-21
87,"Diagnostic Performance of an Antigen Test with RT-PCR for the Detection of SARS-CoV-2 in a Hospital Setting — Los Angeles County, California, June–August 2020",Prompt and accurate diagnosis of SARS-CoV-2 infection is critical to containing the spread of COVID-19 in a hospital setting.,"The Quidel rapid antigen test had lower sensitivity in both asymptomatic (60.5%) and symptomatic (72.1%) patients but a high specificity (98.7% and 99.5% for symptomatic and asymptomatic patients, respectively) when compared with the reverse transcription–polymerase chain reaction (RT-PCR) test.","Antigen tests have lower sensitivity compared with RT-PCR; negative antigen test results in persons with symptoms should be confirmed with an RT-PCR test, because a false-negative result might lead to failures in infection control and prevention practices and cause delays in diagnosis, isolation, and treatment.",14-May-21
88,"Community-Based Testing for SARS-CoV-2 — Chicago, Illinois, May–November 2020","Chicago established a free community-based testing (CBT) initiative for COVID-19, focusing on groups underrepresented in testing and who experienced high levels of COVID-19.","During May 13–November 14, 2020, a total of 253,904 tests were conducted at CBT sites. Compared with persons in other testing settings, those tested at CBT sites were more likely to be Hispanic and to live in areas that are economically marginalized. The proportion of positive test results was larger at CBT sites.",CBT initiatives led by public health departments can reach communities with less access to testing in other settings and disproportionately higher COVID-19 rates.,14-May-21
89,"Rapid Emergence and Epidemiologic Characteristics of the SARS-CoV-2 B.1.526 Variant — New York City, New York, January 1–April 5, 2021",B.1.526 emerged in November 2020 as a SARS-CoV-2 variant of interest in New York City (NYC). The presence of the E484K mutation is concerning because it has been shown to attenuate antibody neutralization in vitro.,"The NYC Department of Health and Mental Hygiene analyzed laboratory and epidemiologic data to characterize cases of B.1.526 infection and the associated potential for breakthrough infection and reinfection. Preliminary evidence suggests that, to date, B.1.526 does not lead to more severe disease or increased risk for infection after vaccination.",Rapid integration of whole genome sequencing and population-based surveillance data is critical to characterizing new SARS-CoV-2 variants.,14-May-21
90,"Identification of and Surveillance for the SARS-CoV-2 Variants B.1.427 and B.1.429 — Colorado, January–March 2021",NA,NA,NA,14-May-21
91,"Modeling of Future COVID-19 Cases, Hospitalizations, and Deaths, by Vaccination Rates and Nonpharmaceutical Intervention Scenarios — United States, April–September 2021",Increases in COVID-19 cases in March and early April occurred despite a large-scale vaccination program. Increases coincided with the spread of SARS-CoV-2 variants and relaxation of nonpharmaceutical interventions (NPIs).,"Data from six models indicate that with high vaccination coverage and moderate NPI adherence, hospitalizations and deaths will likely remain low nationally, with a sharp decline in cases projected by July 2021. Lower NPI adherence could lead to substantial increases in severe COVID-19 outcomes, even with improved vaccination coverage.",High vaccination coverage and compliance with NPIs are essential to control COVID-19 and prevent surges in hospitalizations and deaths in the coming months.,14-May-21
92,"Demographic and Social Factors Associated with COVID-19 Vaccination Initiation Among Adults Aged ≥65 Years — United States, December 14, 2020–April 10, 2021",Older adults have experienced higher risk for COVID-19–associated morbidity and mortality and therefore have been prioritized for COVID-19 vaccination.,"After the first 3.5 months of the U.S. COVID-19 vaccination program, 79.1% of adults aged ≥65 years had received ≥1 dose, with higher vaccination initiation among men. Counties with lower vaccination initiation rates had higher percentages of older adults with social vulnerabilities.",Monitoring demographic and social factors affecting COVID-19 vaccine access for older adults and prioritizing efforts to ensure equitable access to COVID-19 vaccine are needed to ensure high coverage among this group.,14-May-21
93,"Effectiveness of Pfizer-BioNTech and Moderna Vaccines Against COVID-19 Among Hospitalized Adults Aged ≥65 Years — United States, January–March 2021","Clinical trials suggest high efficacy for COVID-19 vaccines, but evaluation of vaccine effectiveness against severe outcomes in real-world settings and in populations at high risk, including older adults, is needed.","In a multistate network of U.S. hospitals during January–March 2021, receipt of Pfizer-BioNTech or Moderna COVID-19 vaccines was 94% effective against COVID-19 hospitalization among fully vaccinated adults and 64% effective among partially vaccinated adults aged ≥65 years.","SARS-CoV-2 vaccines significantly reduce the risk for COVID-19–associated hospitalization in older adults and, in turn, might lead to commensurate reductions in post-COVID conditions and deaths.",7-May-21
94,"Safety Monitoring of the Janssen (Johnson & Johnson) COVID-19 Vaccine — United States, March–April 2021","An Emergency Use Authorization of the Janssen COVID-19 vaccine was granted February 27, 2021. Use was paused during April 12–23, 2021, after detection of six cases of cerebral venous sinus thrombosis (CVST). ","By April 21, nearly 8 million doses of the Janssen COVID-19 vaccine had been administered. Review of safety monitoring data found that 97% of reported reactions after vaccine receipt were nonserious, consistent with preauthorization clinical trials data. Seventeen thrombotic events with thrombocytopenia have been reported, including three non-CVST events.","Ongoing monitoring for rare and common adverse events after vaccination is important for evaluating the balance between risks and benefits for each authorized COVID-19 vaccine, including the Janssen COVID-19 vaccine.",7-May-21
95,"Anxiety-Related Adverse Event Clusters After Janssen COVID-19 Vaccination — Five U.S. Mass Vaccination Sites, April 2021",Syncope and other anxiety-related events can occur after vaccination and have been reported to the Vaccine Adverse Events Reporting System (VAERS) for other vaccines.,"Five mass vaccination sites reported 64 anxiety-related events, including 17 events of syncope (fainting) after receipt of Janssen COVID-19 vaccine. The reporting rates of syncope to VAERS after Janssen COVID-19 and influenza vaccines (2019–20) were 8.2 and 0.05 per 100,000 doses, respectively.",Vaccine providers should be aware of anxiety-related events after vaccination and observe all COVID-19 vaccine recipients for any adverse reactions for at least 15 minutes after vaccine administration.,7-May-21
96,"COVID-19 Outbreak Among Farmworkers — Okanogan County, Washington, May–August 2020",SARS-CoV-2 can spread rapidly in congregate housing and workplaces with limited physical distancing.,"Among farmworkers employed by a fruit grower in Washington, SARS-CoV-2 incidence was higher among those living in the community (12%) than among those living in congregate temporary housing (4%). Incidence was higher among farmworkers packing and sorting fruit indoors (28%) than among those working alone or in small groups indoors or working outdoors (6%–10%).","Collaboration among employers, community groups, and public health authorities can help decrease farmworkers’ risk for COVID-19 in the community and the workplace, with particular focus on indoor workers whose jobs limit physical distancing.",30-Apr-21
97,"COVID-19 Among Workers in the Seafood Processing Industry: Implications for Prevention Measures — Alaska, March–October 2020","Large outbreaks of COVID-19 have occurred in high-density workplaces. In May 2020, Alaska mandated prevention measures in the seafood processing industry.","A review of COVID-19 cases and outbreaks in this industry found that entry quarantine and testing might have reduced introduction of the virus to seafood processing facilities and vessels. The review also identified gaps in the required COVID-19 prevention strategies. Findings were used to revise requirements, which included the addition of serial testing.","Until high vaccination coverage rates are achieved among the seafood processing workforce, rigorous mitigation strategies are needed to prevent and control outbreaks in this high-risk setting.",30-Apr-21
98,"Linked Clusters of SARS-CoV-2 Variant B.1.351 — Maryland, January–February 2021","In January 2021, a SARS-CoV-2 specimen from a Maryland resident was determined to be the B.1.351 variant, first identified in South Africa. The SARS-CoV-2 B.1.351 variant might elicit a reduced neutralizing antibody response.","Investigation identified two linked clusters of SARS-CoV-2 infection, comprising 17 total patients (two were hospitalized and one died) who did not report recent travel. Four patients’ specimens were sequenced; all were the B.1.351 variant.","These were the first identified clusters of B.1.351 in the United States with no link to travel. Completed contact investigations, expanded genetic sequencing, and universal prevention strategies, including vaccination, masking, and distance, might prevent the spread of SARS-CoV-2 variants of concern, including B.1.351.",30-Apr-21
99,"Postvaccination SARS-CoV-2 Infections Among Skilled Nursing Facility Residents and Staff Members — Chicago, Illinois, December 2020–March 2021",Residents and staff members of skilled nursing facilities (SNFs) are recommended to receive COVID-19 vaccine as a priority group.,Twenty-two possible breakthrough SARS-CoV-2 infections occurred among fully vaccinated persons ≥14 days after their second dose of COVID-19 vaccine. Two thirds of persons were asymptomatic. A minority of persons with breakthrough infection experienced mild to moderate COVID-19–like symptoms; two COVID-19–related hospitalizations and one death occurred. No facility-associated secondary transmission was identified.,"SNFs should prioritize vaccination and follow recommended COVID-19 infection prevention and control practices, including following work restrictions, isolation, quarantine, testing of residents and staff members, and use of personal protective equipment.",30-Apr-21
100,"COVID-19 Outbreak Associated with a SARS-CoV-2 R.1 Lineage Variant in a Skilled Nursing Facility After Vaccination Program — Kentucky, March 2021",COVID-19 vaccines have demonstrated high efficacy in clinical trials. Limited data are available on effectiveness in skilled nursing facilities (SNFs) and against emerging variants.,"In a COVID-19 outbreak at a Kentucky SNF involving a newly introduced variant to the region, unvaccinated residents and health care personnel (HCP) had 3.0 and 4.1 times the risk of infection as did vaccinated residents and HCP. Vaccine was 86.5% protective against symptomatic illness among residents and 87.1% protective among HCP.","Vaccination of SNF residents and HCP is essential to reduce the risk for symptomatic COVID-19, as is continued focus on infection prevention and control practices.",30-Apr-21
101,"Health Care Utilization and Clinical Characteristics of Nonhospitalized Adults in an Integrated Health Care System 28–180 Days After COVID-19 Diagnosis — Georgia, May 2020–March 2021",Health care needs in the months after a COVID-19 diagnosis among nonhospitalized adults have not been well studied.,"Among 3,171 nonhospitalized adult COVID-19 patients, 69% had one or more outpatient visits 28–180 days after the diagnosis. Two thirds had a visit for a new primary diagnosis, and approximately one third had a new specialist visit. Symptoms potentially related to COVID-19 were common new visit diagnoses. Visits for these symptoms decreased after 60 days but for some patients continued through 120–180 days.",Clinicians and health care systems should be aware of the potential for post-COVID conditions.,30-Apr-21
102,"Updated Recommendations from the Advisory Committee on Immunization Practices for Use of the Janssen (Johnson & Johnson) COVID-19 Vaccine After Reports of Thrombosis with Thrombocytopenia Syndrome Among Vaccine Recipients — United States, April 2021","On April 13, 2021, CDC and the Food and Drug Administration (FDA) recommended pausing use of the Janssen COVID-19 vaccine after reports of thrombosis with thrombocytopenia syndrome (TTS) among vaccine recipients.","On April 23, the Advisory Committee on Immunization Practices concluded that the benefits of resuming Janssen COVID-19 vaccination among persons aged ≥18 years outweighed the risks and reaffirmed its interim recommendation under FDA’s Emergency Use Authorization, which includes a new warning for rare clotting events among women aged 18–49 years.","Resuming use of the Janssen COVID-19 vaccine will ensure flexibility, choice, and improved access. Education about TTS risk with Janssen COVID-19 vaccine is critical.",30-Apr-21
103,"Airport Traveler Testing Program for SARS-CoV-2 — Alaska, June–November 2020","To reduce traveler-related introduction of SARS-CoV-2 into Alaska, the state instituted a traveler testing program in June 2020. Travelers could be tested within 72 hours before arrival or on arrival or could quarantine for 14 days without testing.","SARS-CoV-2 testing on arrival in Alaska airports identified 951 SARS-CoV-2 infections, or one per 406 arriving travelers, and might have contributed to Alaska’s low incidence during the summer by reducing opportunities for community transmission at travelers’ destination locations.","Posttravel self-quarantine and testing programs might reduce travel-associated SARS-CoV-2 transmission and importation, even without enforcement. Traveler education and community and industry partnerships might help ensure success.",23-Apr-21
104,"COVID-19 Outbreaks in Correctional Facilities with Work-Release Programs — Idaho, July–November 2020","Correctional and detention facilities face unique challenges for controlling transmission of SARS-CoV-2. Work-release programs, which place incarcerated persons in community businesses, might pose additional risks.","As of November 30, 2020, a total of 382 outbreak-related COVID-19 cases were identified among incarcerated persons at five Idaho correctional facilities with work-release programs; two outbreaks were linked to work at food processing plants.","Correctional facilities operating work-release programs should implement measures to reduce SARS-CoV-2 transmission, including mass testing and working with public health officials to identify high-risk work sites. Incarcerated persons participating in work-release should be included in COVID-19 vaccination plans.",23-Apr-21
105,Laboratory Modeling of SARS-CoV-2 Exposure Reduction Through Physically Distanced Seating in Aircraft Cabins Using Bacteriophage Aerosol — November 2020,"Aircraft can hold large numbers of persons in close proximity for long periods, which are conditions that can increase the risk for transmitting infectious diseases.","Based on laboratory modeling of exposure to SARS-CoV-2 on single-aisle and twin-aisle aircraft, exposures in scenarios in which the middle seat was vacant were reduced by 23% to 57%, compared with full aircraft occupancy, depending upon the model.","Physical distancing of airplane passengers, including through policies such as middle seat vacancy, could provide additional reductions in risk for exposure to SARS-CoV-2 on aircraft.",23-Apr-21
106,"Update: COVID-19 Pandemic–Associated Changes in Emergency Department Visits — United States, December 2020–January 2021","During March 29–April 25, 2020, U.S. emergency department (ED) visits declined by 42% after the declaration of a national emergency for COVID-19 on March 13, 2020. The number of ED visits increased by July 2020 but remain below prepandemic levels.","ED visits during December 2020–January 2021 were 25% lower than during the same months the year before. Higher proportions of ED patients are seeking care for mental and behavioral health–related concerns, especially pediatric patients.",Efforts to ensure public understanding of the importance of seeking guidance and emergency care for acute and mental or behavioral health conditions are necessary.,16-Apr-21
107,"Factors Associated with Participation in Elementary School–Based SARS-CoV-2 Testing — Salt Lake County, Utah, December 2020–January 2021",NA,NA,NA,16-Apr-21
108,"Trends in Racial and Ethnic Disparities in COVID-19 Hospitalizations, by Region — United States, March–December 2020",COVID-19 disproportionately affects racial and ethnic minority groups in the United States.,"Within each U.S. Census region, the proportion of hospitalized patients with COVID-19 was highest for Hispanic or Latino patients. Racial and ethnic disparities were largest during May–July 2020 and became less pronounced as the pandemic spread throughout the country; however, disparities remained in December 2020 in all regions.","Understanding the social determinants of health contributing to geographic and temporal differences in racial and ethnic disparities at a local level can help guide public health prevention strategies and equitable resource allocation, including COVID-19 vaccination, to address COVID-19–related health disparities.",16-Apr-21
